Row Labels,Elevation.m,NationalPark,Elevation.cat,Elevation.cat2,NationalPark.cat,Latitude,Longitude,Abundance,appositus,bifarius,californicus,caliginosus,flavifrons,griseocollis,melanopygus,mixtus,nevadensis,occidentalis,rufocinctus,sitkensis,sylvicola,vandykei,vosnesenskii
American Camp,38,San Juan Island,l6,low,SAJH,48.4612,-123.0221,61,0,0,0,0,7,0,0,17,0,0,36,0,0,0,1
Cascade Pass,1638,North Cascades,h3,high,NOCA,48.468,-121.0596,38,0,7,0,0,5,0,8,2,0,0,0,10,6,0,0
"Crescent Lake, East Beach",209,Olympic,l7,low,OLYM,48.086,-123.7429,17,0,0,0,0,8,0,0,3,0,0,0,4,0,0,2
Ebey's Landing,20,Ebey's Landing,l5,low,EBLA,48.1933,-122.7096,35,16,0,0,0,15,0,0,0,0,0,2,0,0,0,2
English Camp,1,San Juan Island,l1,low,SAJH,48.5862,-123.1502,60,0,28,1,0,22,0,0,8,0,0,0,0,0,0,1
Fort Vancouver,12,Fort Vancouver,l3,low,FOVA,45.6236,-122.6615,55,2,0,7,1,0,1,0,0,1,0,0,0,0,0,43
Heart Lake,1460,Olympic,m7,high,OLYM,47.9109,-123.733,28,0,0,0,0,0,0,4,1,0,0,0,12,11,0,0
Lewis & Clark NP,2,Lewis & Clark,l2,low,LEWI,46.1175,-123.8752,33,0,0,6,15,1,0,0,8,0,0,0,0,0,0,3
Lower Bridge Creek Campsite,1163,Olympic,m2,high,OLYM,47.9241,-123.7334,42,0,0,0,0,3,0,8,0,0,0,0,23,8,0,0
Lower Palisades Lake,1804,Mt. Rainier,h5,high,MORA,46.9542,-121.5924,5,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0
Lower Royal Basin,1421,Olympic,m5,high,OLYM,47.8391,-123.2113,41,0,1,0,0,14,0,6,7,0,5,0,1,2,3,2
near Sunrise Meadows,1907,Mt. Rainier,h8,high,MORA,46.9136,-121.6222,7,0,3,0,0,1,0,0,2,0,0,0,1,0,0,0
Paradise Meadows,1603,Mt. Rainier,h2,high,MORA,46.7863,-121.7399,48,0,4,0,0,7,0,20,0,0,0,0,5,12,0,0
Royal Basin Parking Lot,1170,Olympic,m3,high,OLYM,47.8776,-123.0039,5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
Royal Basin Ranger Station,1564,Olympic,h1,high,OLYM,47.8331,-123.2112,25,0,0,0,0,2,0,2,7,0,0,0,2,12,0,0
Royal Basin Trail,1177,Olympic,m4,high,OLYM,47.8592,-123.2028,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Sahale Arm Trail,1875,North Cascades,h7,high,NOCA,48.4713,-121.5188,44,0,12,0,0,9,0,8,2,0,0,0,1,12,0,0
Sandpoint Loop,12,Olympic,l4,low,OLYM,48.1544,-124.69,13,0,0,0,8,3,0,0,2,0,0,0,0,0,0,0
Sibley Creek,419,North Cascades,l8,low,NOCA,48.5122,-121.2507,36,0,0,0,0,14,0,2,15,0,0,0,5,0,0,0
Snow Lake,1458,Mt. Rainier,m6,high,MORA,46.7655,-121.7057,44,0,13,0,0,11,0,2,1,0,0,0,2,15,0,0
Upper Crystal Lake,1784,Mt. Rainier,h4,high,MORA,46.9057,-121.5094,47,0,11,0,0,1,0,2,4,0,0,0,2,27,0,0
Upper Palisades Lake,1804,Mt. Rainier,h6,high,MORA,46.9493,-121.5923,25,0,3,0,0,2,0,5,2,0,0,0,0,13,0,0
West Side Road,878,Mt. Rainier,m1,high,MORA,46.7794,-121.8847,50,0,0,0,0,19,0,1,0,0,0,0,30,0,0,0